pdf_url,year,journal,Answer,id,page
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1883337_wo_cover_page-5.pdf',1940,QJE,1.0,1883337,5
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1906860_wo_cover_page-4.pdf',1940,ECTA,1.0,1906860,4
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1906860_wo_cover_page-6.pdf',1940,ECTA,1.0,1906860,6
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1906860_wo_cover_page-12.pdf',1940,ECTA,2.0,1906860,12
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907031_wo_cover_page-1.pdf',1940,ECTA,1.0,1907031,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907031_wo_cover_page-4.pdf',1940,ECTA,1.0,1907031,4
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907031_wo_cover_page-10.pdf',1940,ECTA,1.0,1907031,10
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1881664_wo_cover_page-4.pdf',1940,QJE,1.0,1881664,4
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1881664_wo_cover_page-6.pdf',1940,QJE,1.0,1881664,6
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1881664_wo_cover_page-9.pdf',1940,QJE,1.0,1881664,9
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1881664_wo_cover_page-12.pdf',1940,QJE,1.0,1881664,12
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1881664_wo_cover_page-15.pdf',1940,QJE,1.0,1881664,15
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1807578_wo_cover_page-4.pdf',1940,AER,1.0,1807578,4
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1807578_wo_cover_page-6.pdf',1940,AER,1.0,1807578,6
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1807578_wo_cover_page-8.pdf',1940,AER,1.0,1807578,8
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1807578_wo_cover_page-10.pdf',1940,AER,1.0,1807578,10
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1881665_wo_cover_page-16.pdf',1940,QJE,1.0,1881665,16
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1881665_wo_cover_page-22.pdf',1940,QJE,1.0,1881665,22
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2967472_wo_cover_page-1.pdf',1940,RES,1.0,2967472,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1882453_wo_cover_page-9.pdf',1940,QJE,1.0,1882453,9
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2967418_wo_cover_page-1.pdf',1940,RES,1.0,2967418,1
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1824209_wo_cover_page-7.pdf,1940,JPE,1.0,1824209,7
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1824209_wo_cover_page-8.pdf,1940,JPE,1.0,1824209,8
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1824209_wo_cover_page-9.pdf,1940,JPE,1.0,1824209,9
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1824209_wo_cover_page-10.pdf,1940,JPE,1.0,1824209,10
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1824209_wo_cover_page-17.pdf,1940,JPE,1.0,1824209,17
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1824209_wo_cover_page-18.pdf,1940,JPE,1.0,1824209,18
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1824209_wo_cover_page-22.pdf,1940,JPE,1.0,1824209,22
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1824209_wo_cover_page-25.pdf,1940,JPE,1.0,1824209,25
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1824209_wo_cover_page-26.pdf,1940,JPE,1.0,1824209,26
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1824209_wo_cover_page-28.pdf,1940,JPE,1.0,1824209,28
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1824209_wo_cover_page-29.pdf,1940,JPE,1.0,1824209,29
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1824209_wo_cover_page-33.pdf,1940,JPE,1.0,1824209,33
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1824209_wo_cover_page-34.pdf,1940,JPE,1.0,1824209,34
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1824380_wo_cover_page-2.pdf,1940,JPE,1.0,1824380,2
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1824380_wo_cover_page-5.pdf,1940,JPE,1.0,1824380,5
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1824380_wo_cover_page-9.pdf,1940,JPE,1.0,1824380,9
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2967473_wo_cover_page-3.pdf',1940,RES,2.0,2967473,3
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2967473_wo_cover_page-4.pdf',1940,RES,2.0,2967473,4
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907030_wo_cover_page-11.pdf',1940,ECTA,1.0,1907030,11
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907030_wo_cover_page-15.pdf',1940,ECTA,1.0,1907030,15
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907030_wo_cover_page-18.pdf',1940,ECTA,1.0,1907030,18
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1884728_wo_cover_page-1.pdf',1940,QJE,1.0,1884728,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1884728_wo_cover_page-3.pdf',1940,QJE,1.0,1884728,3
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1884728_wo_cover_page-5.pdf',1940,QJE,1.0,1884728,5
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1884726_wo_cover_page-4.pdf',1940,QJE,1.0,1884726,4
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1882448_wo_cover_page-5.pdf',1940,QJE,1.0,1882448,5
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1882448_wo_cover_page-9.pdf',1940,QJE,1.0,1882448,9
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1883341_wo_cover_page-8.pdf',1940,QJE,1.0,1883341,8
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1883341_wo_cover_page-10.pdf',1940,QJE,1.0,1883341,10
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1906884_wo_cover_page-9.pdf',1940,ECTA,1.0,1906884,9
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1906884_wo_cover_page-10.pdf',1940,ECTA,1.0,1906884,10
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2967406_wo_cover_page-3.pdf',1940,RES,1.0,2967406,3
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2967406_wo_cover_page-4.pdf',1940,RES,1.0,2967406,4
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2967406_wo_cover_page-5.pdf',1940,RES,1.0,2967406,5
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2967406_wo_cover_page-7.pdf',1940,RES,1.0,2967406,7
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1803241_wo_cover_page-3.pdf',1941,AER,1.0,1803241,3
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1803241_wo_cover_page-5.pdf',1941,AER,1.0,1803241,5
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1906885_wo_cover_page-1.pdf',1940,ECTA,1.0,1906885,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2967404_wo_cover_page-4.pdf',1940,RES,2.0,2967404,4
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1882449_wo_cover_page-11.pdf',1940,QJE,1.0,1882449,11
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1882449_wo_cover_page-14.pdf',1940,QJE,1.0,1882449,14
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1825597_wo_cover_page-2.pdf,1940,JPE,1.0,1825597,2
