pdf_url,year,journal,Answer,ID,page,Eq_count,Equal_count,Equiv_count,g_count,l_count
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907383_wo_cover_page-16.pdf',1958,ECONOMETRICA,e,1907383,16,8,8,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907385_wo_cover_page-8.pdf',1958,ECONOMETRICA,te1,1907385,8,1,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907730_wo_cover_page-1.pdf',1960,ECONOMETRICA,e,1907730,1,10,12,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1905384_wo_cover_page-18.pdf',1957,ECONOMETRICA,e,1905384,18,11,6,0,2,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1910255_wo_cover_page-5.pdf',1957,ECONOMETRICA,e1,1910255,5,10,13,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1910384_wo_cover_page-11.pdf',1955,ECONOMETRICA,e,1910384,11,7,6,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1911817_wo_cover_page-18.pdf',1961,ECONOMETRICA,e1,1911817,18,4,2,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907733_wo_cover_page-11.pdf',1960,ECONOMETRICA,e,1907733,11,2,1,1,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907723_wo_cover_page-9.pdf',1960,ECONOMETRICA,e,1907723,9,10,8,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907443_wo_cover_page-1.pdf',1954,ECONOMETRICA,e,1907443,1,18,19,1,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907357_wo_cover_page-3.pdf',1954,ECONOMETRICA,e,1907357,3,22,21,1,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1905362_wo_cover_page-4.pdf',1946,ECONOMETRICA,e,1905362,4,10,5,1,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1905772_wo_cover_page-0.pdf',1946,ECONOMETRICA,et1,1905772,0,10,9,2,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907316_wo_cover_page-7.pdf',1949,ECONOMETRICA,e,1907316,7,19,16,0,2,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1905490_wo_cover_page-17.pdf',1956,ECONOMETRICA,e,1905490,17,16,6,0,7,3
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1905793_wo_cover_page-3.pdf',1950,ECONOMETRICA,e,1905793,3,8,2,0,1,2
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1910949_wo_cover_page-9.pdf',1963,ECONOMETRICA,e,1910949,9,10,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1905730_wo_cover_page-6.pdf',1951,ECONOMETRICA,e1,1905730,6,9,5,3,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907541_wo_cover_page-7.pdf',1954,ECONOMETRICA,e,1907541,7,11,13,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1911634_wo_cover_page-1.pdf',1956,ECONOMETRICA,e1,1911634,1,12,3,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1905749_wo_cover_page-12.pdf',1956,ECONOMETRICA,e,1905749,12,18,14,10,4,2
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1905465_wo_cover_page-10.pdf',1942,ECONOMETRICA,e1,1905465,10,22,19,2,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909101_wo_cover_page-5.pdf',1940,ECONOMETRICA,e,1909101,5,6,5,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907849_wo_cover_page-17.pdf',1952,ECONOMETRICA,e,1907849,17,17,14,1,1,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907777_wo_cover_page-5.pdf',1959,ECONOMETRICA,e1,1907777,5,9,3,5,1,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1905432_wo_cover_page-45.pdf',1944,ECONOMETRICA,e1,1905432,45,17,17,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909359_wo_cover_page-1.pdf',1959,ECONOMETRICA,e,1909359,1,19,16,4,2,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1905295_wo_cover_page-7.pdf',1960,ECONOMETRICA,1et,1905295,7,2,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909170_wo_cover_page-2.pdf',1963,ECONOMETRICA,e,1909170,2,14,10,0,0,4
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907231_wo_cover_page-26.pdf',1948,ECONOMETRICA,e,1907231,26,8,8,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1905256_wo_cover_page-15.pdf',1956,ECONOMETRICA,e,1905256,15,9,13,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907589_wo_cover_page-23.pdf',1958,ECONOMETRICA,e1,1907589,23,5,4,0,1,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1905334_wo_cover_page-1.pdf',1947,ECONOMETRICA,e,1905334,1,4,3,0,1,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909443_wo_cover_page-6.pdf',1959,ECONOMETRICA,e1,1909443,6,23,9,0,8,3
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907779_wo_cover_page-10.pdf',1959,ECONOMETRICA,e1,1907779,10,21,13,2,2,13
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1905498_wo_cover_page-0.pdf',1956,ECONOMETRICA,e,1905498,0,13,6,0,2,6
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907741_wo_cover_page-42.pdf',1957,ECONOMETRICA,e,1907741,42,10,7,0,2,2
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907563_wo_cover_page-39.pdf',1960,ECONOMETRICA,te1,1907563,39,5,5,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1905298_wo_cover_page-7.pdf',1960,ECONOMETRICA,ea1,1905298,7,13,13,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909440_wo_cover_page-5.pdf',1959,ECONOMETRICA,e,1909440,5,17,8,3,3,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907387_wo_cover_page-3.pdf',1958,ECONOMETRICA,te1,1907387,3,8,8,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1911817_wo_cover_page-10.pdf',1961,ECONOMETRICA,1e,1911817,10,6,6,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909894_wo_cover_page-2.pdf',1962,ECONOMETRICA,e1,1909894,2,9,5,1,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907924_wo_cover_page-5.pdf',1953,ECONOMETRICA,e1,1907924,5,22,2,0,9,5
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1905484_wo_cover_page-1.pdf',1947,ECONOMETRICA,e,1905484,1,8,10,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907410_wo_cover_page-12.pdf',1952,ECONOMETRICA,e,1907410,12,11,3,1,3,2
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907958_wo_cover_page-15.pdf',1957,ECONOMETRICA,e1,1907958,15,2,9,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1905467_wo_cover_page-8.pdf',1942,ECONOMETRICA,e,1905467,8,4,0,0,2,2
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907571_wo_cover_page-6.pdf',1960,ECONOMETRICA,e13,1907571,6,18,2,0,6,9
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1911630_wo_cover_page-3.pdf',1956,ECONOMETRICA,e,1911630,3,8,5,0,2,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907685_wo_cover_page-1.pdf',1961,ECONOMETRICA,e1,1907685,1,6,1,4,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909288_wo_cover_page-5.pdf',1961,ECONOMETRICA,fe,1909288,5,5,2,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907642_wo_cover_page-6.pdf',1952,ECONOMETRICA,e,1907642,6,5,2,1,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907959_wo_cover_page-7.pdf',1957,ECONOMETRICA,e,1907959,7,5,4,0,1,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1906935_wo_cover_page-35.pdf',1944,ECONOMETRICA,e,1906935,35,9,8,1,0,0
